fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.001,300,128,0.5,standard,17,17,directo,q10,108,151,1.0,0.6565,0.417,0.5886,0.5533,108,92,1.0,0.4,0.54,0.7013,0.7278
fase1,0.001,300,128,0.5,standard,17,17,directo,q05,108,108,1.0,0.4696,0.5,0.6667,0.6805,108,78,1.0,0.3391,0.5806,0.7347,0.7692
fase1,0.001,300,128,0.5,standard,17,17,directo,q01,108,29,1.0,0.1261,0.7883,0.8816,0.9142,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,300,128,0.7,standard,17,17,directo,q10,108,159,1.0,0.6913,0.4045,0.576,0.5296,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.001,300,128,0.7,standard,17,17,directo,q05,108,103,1.0,0.4478,0.5118,0.6771,0.6953,108,84,1.0,0.3652,0.5625,0.72,0.7515
fase1,0.001,300,128,0.7,standard,17,17,directo,q01,108,54,1.0,0.2348,0.6667,0.8,0.8402,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,300,128,1.0,standard,17,17,directo,q10,108,151,1.0,0.6565,0.417,0.5886,0.5533,108,94,1.0,0.4087,0.5347,0.6968,0.7219
fase1,0.001,300,128,1.0,standard,17,17,directo,q05,108,121,1.0,0.5261,0.4716,0.6409,0.642,108,83,1.0,0.3609,0.5654,0.7224,0.7544
fase1,0.001,300,128,1.0,standard,17,17,directo,q01,108,49,1.0,0.213,0.6879,0.8151,0.855,108,5,1.0,0.0217,0.9558,0.9774,0.9852
fase1,0.001,300,auto,0.5,standard,17,17,directo,q10,108,167,1.0,0.7261,0.3927,0.564,0.5059,108,96,1.0,0.4174,0.5294,0.6923,0.716
fase1,0.001,300,auto,0.5,standard,17,17,directo,q05,108,140,1.0,0.6087,0.4355,0.6067,0.5858,108,82,1.0,0.3565,0.5684,0.7248,0.7574
fase1,0.001,300,auto,0.5,standard,17,17,directo,q01,108,43,1.0,0.187,0.7152,0.834,0.8728,108,4,1.0,0.0174,0.9643,0.9818,0.9882
fase1,0.001,300,auto,0.7,standard,17,17,directo,q10,108,168,1.0,0.7304,0.3913,0.5625,0.503,108,93,1.0,0.4043,0.5373,0.699,0.7249
fase1,0.001,300,auto,0.7,standard,17,17,directo,q05,108,117,1.0,0.5087,0.48,0.6486,0.6538,108,85,1.0,0.3696,0.5596,0.7176,0.7485
fase1,0.001,300,auto,0.7,standard,17,17,directo,q01,108,48,1.0,0.2087,0.6923,0.8182,0.858,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,300,auto,1.0,standard,17,17,directo,q10,108,163,1.0,0.7087,0.3985,0.5699,0.5178,108,98,1.0,0.4261,0.5243,0.6879,0.7101
fase1,0.001,300,auto,1.0,standard,17,17,directo,q05,108,136,1.0,0.5913,0.4426,0.6136,0.5976,108,88,1.0,0.3826,0.551,0.7105,0.7396
